Name,Rarity,Fact,Image Reference
Pet Parent,Common,I have a cat name Duo Duo (多多) and is 1.5 years old,
Karate Chop,Common,"A black belt in karate, trained from elementary through high school",
Pluck It Up,Common,Huge Pikmin fan and still waiting for Pikmin 5 in 2029,
Hello There,Common,"I love Star Wars, and if I could live in it, I'd be a Jedi in the High Republic era, before everything went sideways.",
Big Brother's Watching,Common,"Oldest of three, I was the beta test for my brother and sister",
Fist My Bump,Common,Project Hail Mary is my movie of 2026,
Fastest Fan Alive,Common,My favorite superhero is the Flash because of who he is,
Presentation!,Common,Megamind is my most underrated and most underappreciated movie,
Fall Off the Bone,Common,"I love cooking, and ribs are my specialty, so bring a bib",
Space Cadet,Common,"I nerd out on space, stars, rockets, and science",
Judge a Book by Its Cover,Uncommon,"My most niche hobby, I like turning paperbacks into hardcovers",
Dual Wielding,Uncommon,"Chinese and American citizen – two passports, one very confused airport line",
I Choose You,Uncommon,My favorite Pokemon is Metagross,
Ten Rings,Uncommon,I once met Simu Liu (Shang-Chi) at my local Costco,
Trust Me Bro,Uncommon,"Underrated anime I push on everyone is ""Deca-Dence""",
Gathering the Magic,Uncommon,I got into Magic: The Gathering after finding a box of 12 cards at an aquarium,
Spicy Dare,Uncommon,"For $20 dare, I ate a spoonful of wasabi",
"Leaks, Be Gone",Rare,I hate onions and will perform full surgery on my food to avoid them,
Sea You Never,Rare,"I'm allergic to seawater or salt water, but only if I get in it, so only sand for me",
Space Pirate.,Rare,"I can recite and sometimes reenact about 90% of the movie ""The Martian""",
